"skills","avg_salary"
"asana","188609.92"
"mongo","176054.58"
"airtable","174550.00"
"node","170505.04"
"lua","170500.00"
"solidity","166771.36"
"watson","166330.78"
"objective-c","164500.00"
"dplyr","163111.06"
"rshiny","162095.78"
"hugging face","157137.84"
"codecommit","154746.82"
"theano","153133.41"
"cassandra","149089.76"
"ruby on rails","148249.96"
"drupal","147500.00"
"neo4j","146794.11"
"pytorch","144722.70"
"atlassian","143958.42"
"slack","143857.41"
"scala","143775.66"
"openstack","143517.63"
"zoom","143361.79"
"express","142845.56"
"kafka","142628.81"
